Card Header,GPIO,BBB Pin
H2-3,N/A,N/A
H2-4 (Key),N/A,N/A
H3-3,GPIO3_19,P9_27
H3-4,GPIO1_17,P9_23
H4-3,UART1_TX,P9_24
H4-4,UART1_RX,P9_26
H5-3,UART2_TX,P9_21
H5-4,UART2_RX,P9_22
H6-3,I2C_SDA,P9_18
H6-4,I2C_SCL,P9_17
H7-3,EHPWM1B,P9_16
H7-4,GPIO1_16,P9_15
H8-3,EHRPWM1A,P9_14
H8-4,GPIO1_28,P9_12
H9-3,UART4_TX,P9_13
H9-4,UART4_RX,P9_11
H10-3 (KEY),N/A,N/A
H11-3,GPIO1_29,P8_26
H12-3,GPIO2_1,P8_18
H13-3,GPIO0_27,P8_17
H14-3,GPIO1_14,P8_16
H15-3,GPIO1_15,P8_15
H16-3,GPIO1_12,P8_12
H17-3,GPIO1_13,P8_11
