Qty,Value,Ref Des,,Qty,Value,Ref Des
4,0.1uF,"C2,C4-C6",,1,"Header, Rt ang, 1x2",H1
1,10uF,C3,,1,"Header, Vert, 2x3",H2
1,"Polyfuse, 1A (1206)",F1,,1,"DC Pwr Jack, 5.5mmx2.1mm",J1
8,10K,"R2,R4-R6,R9,R12,R15,R18",,1,"Header, 1x6, Rt Ang, (FTDI)",J2
10,2.2K,"R1,R3,R7,R8,R10,R11,R13,R14,R16,R17",,4,"Header, Strt, 1x3","J4-J6,J8"
1,AP1117E33G-13 (3.3V),U2,,5,"Header, Strt, 1x5","J7,J9-J12"
1,PCA9544APWR,U3,,1,"Header, Vert, 2x3",J3
2,"Header, Fem, 1x15",U1,,1,"Term Blk, 5mm, 1x2",J15
1,ESP32 MODULE,U1,,2,"Header, Vert, 1x14","P12,P13"
,,,,2,"Header, Vert, 2x14","P2,P11"
,,,,1,"Header, Vert, 2x3",P8
,,,,1,"Header, Vert, 2x8",P1
