DB25,P1(DB25F),J1,Signal,FPGA,,DB25,P1(DB25F),J1,Signal,FPGA
1,25,,,,,,26,,NC,
2,23,,GND,,,14,24,,GND,
3,21,44,gpio3[7],PIN_M18,,15,22,43,gpio3[6],PIN_N19
4,19,42,gpio3[5],PIN_M21,,16,20,41,gpio3[4],PIN_M20
5,17,40,gpio3[3],PIN_N20,,17,18,39,gpio3[2],PIN_N21
6,15,38,gpio3[1],PIN_P16,,18,16,37,gpio3[0],PIN_P17
7,13,36,gpio2[7],PIN_T20,,19,14,35,gpio2[6],PIN_T19
8,11,34,gpio2[5],PIN_P22,,20,12,33,gpio2[4],PIN_R21
9,9,32,gpio2[3],PIN_R22,,21,10,31,gpio2[2],PIN_T22
10,7,30,gpio2[1],PIN_U21,,22,8,29,gpio2[0],PIN_U20
11,5,,,,,23,6,,,
12,3,,,,,24,4,,,
13,1,,+3.3V,,,25,2,,+3.3V,
