U7 PIN,EP4CE15,EP4CE55,5CEFA2,CYC 10,FUNCTION,,U7 PIN,EP4CE15,EP4CE55,5CEFA2,CYC 10,FUNCTION
1,GND,GND,GND,GND,GND,,2,GND,GND,GND,GND,GND
3,3.3V,3.3V,3.3V,3.3V,3.3V,,4,3.3V,3.3V,3.3V,3.3V,3.3V
5,GND,GND,GND,GND,GND,,6,GND,GND,GND,GND,GND
7,PIN_R1,PIN_R1,PIN_AA2,PIN_G1,AUDIOR,,8,PIN_R2,PIN_R2,PIN_AA1,PIN_G2,AUDIOL
9,PIN_P1,PIN_P1,PIN_Y3,PIN_D1,PS2DAT,,10,PIN_P2,PIN_P2,PIN_W2,PIN_C2,PS2CLK
11,PIN_N1,PIN_N1,PIN_U1,PIN_B1,SRAMA4,,12,PIN_N2,PIN_N2,PIN_U2,PIN_F5,SRAMA5
13,PIN_M1,PIN_M1,PIN_N1,PIN_D3,SRAMA3,,14,PIN_M2,PIN_M2,PIN_N2,PIN_C3,SRAMA6
15,PIN_J1,PIN_J1,PIN_L1,PIN_B3,SRAMA2,,16,PIN_J2,PIN_J2,PIN_L2,PIN_A3,SRAMA7
17,PIN_H1,PIN_H1,PIN_G1,PIN_B4,SRAMA1,,18,PIN_H2,PIN_H2,PIN_G2,PIN_A4,SRAM0E_N
19,PIN_F1,PIN_F1,PIN_E2,PIN_E5,SRAMA0,,20,PIN_F2,PIN_F2,PIN_D3,PIN_A2,SRAMA8
21,PIN_E1,PIN_E1,PIN_C1,PIN_D4,SRAMCS_N,,22,PIN_D2,PIN_D2,PIN_C2,PIN_E6,SRAMD7
23,PIN_C1,PIN_C1,PIN_G6,PIN_C6,SRAMD0,,24,PIN_C2,PIN_C2,PIN_H6,PIN_D6,SRAMD6
25,PIN_B1,PIN_B1,PIN_G8,PIN_B5,SRAMD1,,26,PIN_B2,PIN_B2,PIN_H8,PIN_A5,SRAMD5
27,PIN_B3,PIN_B3,PIN_F7,PIN_B6,SRAMD2,,28,PIN_A3,PIN_A3,PIN_E7,PIN_A6,SRAMD4
29,PIN_B4,PIN_B4,PIN_D6,PIN_B7,SRAMD3,,30,PIN_A4,PIN_A4,PIN_C6,PIN_A7,SRAMA9
31,PIN_C4,PIN_C4,PIN_E9,PIN_D8,SRAMWE_N,,32,PIN_C3,PIN_C3,PIN_D9,PIN_C8,SRAMA10
33,PIN_B5,PIN_B5,PIN_B5,PIN_D9,SRAMA19,,34,PIN_A5,PIN_A5,PIN_A5,PIN_C9,SRAMA11
35,PIN_B6,PIN_B6,PIN_B6,PIN_B8,SRAMA18,,36,PIN_A6,PIN_A6,PIN_B7,PIN_A8,SRAMA12
37,PIN_B7,PIN_B7,PIN_A7,PIN_B9,SRAMA17,,38,PIN_A7,PIN_A7,PIN_A8,PIN_A9,SRAMA13
39,PIN_B8,PIN_B8,PIN_A9,PIN_E9,SRAMA16,,40,PIN_A8,PIN_A8,PIN_A10,PIN_E8,SRAMA14
41,PIN_B9,PIN_B9,PIN_B10,PIN_E11,REDHI,,42,PIN_A9,PIN_A9,PIN_C9,PIN_E10,SRAMA15
43,PIN_B10,PIN_B10,PIN_G10,PIN_A10,REDLO,,44,PIN_A10,PIN_A10,PIN_F10,PIN_B10,REDMID
45,PIN_B13,PIN_B13,PIN_C11,PIN_D12,GRNMID,,46,PIN_A13,PIN_A13,PIN_B11,PIN_D11,GRNHI
47,PIN_B14,PIN_B14,PIN_B12,PIN_B11,BLUHI,,48,PIN_A14,PIN_A14,PIN_A12,PIN_A11,GRNLO
49,PIN_B15,PIN_B15,PIN_E12,PIN_B12,HSYNC,,50,PIN_A15,PIN_A15,PIN_D12,PIN_A12,BLULO
51,PIN_B16,PIN_B16,PIN_D13,PIN_B13,SDCS_N,,52,PIN_A16,PIN_A16,PIN_C13,PIN_A13,VSYNC
53,PIN_B17,PIN_B17,PIN_B13,PIN_B14,SD_SCK,,54,PIN_A17,PIN_A17,PIN_A13,PIN_A14,SD_MOSI
55,PIN_B18,PIN_B18,PIN_A15,PIN_D14,CD_DET,,56,PIN_A18,PIN_A18,PIN_A14,PIN_C14,SD_MISO
57,PIN_B19,PIN_B19,PIN_B15,PIN_B16,USBTX/FPGARX,,58,PIN_A19,PIN_A19,PIN_C15,PIN_A15,UBSRTS/FPGACTS
59,PIN_B20,PIN_B20,PIN_C16,PIN_C16,USBCTS/FPGARTS,,60,PIN_A20,PIN_A20,PIN_B16,PIN_C15,USBRX/FPGATX
61,GND,GND,GND,GND,GND,,62,GND,GND,GND,GND,GND
63,VIN,VIN,VIN,VIN,VIN,,64,VIN,VIN,VIN,VIN,VIN
