Reference, Value, Footprint, Datasheet

"C11","100uF","Xenir:Cap_6.3x5.4",""
"C14","22uF","Xenir:Cap_4x5.4",""
"U6","MCP1703A-2502_SOT223","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf"
"Q1","2N3904-SMD","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
"R6","62","Xenir:Resistor 0805",""
"J1","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","~"
"R52","24k","Xenir:Resistor 0805",""
"R53","6.8k","Xenir:Resistor 0805",""
"C53",".1uF","Xenir:Capacitor 0805",""
"J2","BNC","Xenir:BNC",""
"C57",".1uF","Xenir:Capacitor 0805",""
"Q2","2SC5706","Package_TO_SOT_SMD:TO-252-2","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
"L3","14T T37-6","Xenir:T37_Inductor",""
"L4","18T T37-6","Xenir:T37_Inductor",""
"C3","150p","Xenir:Capacitor 1206",""
"C5","330p","Xenir:Capacitor 1206",""
"C8","150p","Xenir:Capacitor 1206",""
"C7","33p","Xenir:Capacitor 1206",""
"C9",".1uF","Xenir:Capacitor 0805",""
"R64","24k","Xenir:Resistor 0805",""
"R65","6.8k","Xenir:Resistor 0805",""
"J3","BNC","Xenir:BNC",""
"Q4","IRF510","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
"T1","T37-43 8T:4T","Xenir:T37 Transformer",""
"RV1","R_POT","Xenir:Trimpot Vertical","~"
"C1",".1uF","Xenir:Capacitor 0805",""
"R1","33","Xenir:Resistor 0805",""
"L1","T50-43 10T","Xenir:T50_Inductor",""
"C2",".1uF","Xenir:Capacitor 0805",""
"D1","D_Zener","Diode_THT:D_A-405_P10.16mm_Horizontal","~"
"R2","10","Xenir:Resistor 0805",""
"RV2","R_POT","Xenir:Trimpot Vertical","~"
"C4",".1uF","Xenir:Capacitor 0805",""
"Q5","IRFU9024","Package_TO_SOT_THT:TO-251-3_Vertical",""
"R4","10k","Xenir:Resistor 0805",""
"R7","10k","Xenir:Resistor 0805",""
"Q3","BS170F","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/BS170F.pdf"
"R5","1.5k","Xenir:Resistor 0805",""
"R3","10k","Xenir:Resistor 0805",""
"C6",".1uF","Xenir:Capacitor 0805",""
"J4","Audio_Jack","Xenir:Audio_Jack",""
"R8","100","Xenir:Resistor 0805",""
"R9","2.7k","Xenir:Resistor 0805",""
"C10",".1uF","Xenir:Capacitor 0805",""
"R10","62","Xenir:Resistor 0805",""
"C12",".1uF","Xenir:Capacitor 0805",""
"T2","T37-43 25T:8T","Xenir:T37 Transformer",""
"C13",".1uF","Xenir:Capacitor 0805",""
"R11","18","Xenir:Resistor 0805",""
"R12","18","Xenir:Resistor 0805",""
"C15",".1uF","Xenir:Capacitor 0805",""
"C16","22uF","Xenir:Cap_4x5.4",""
"C17",".1uF","Xenir:Capacitor 0805",""
