Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
1,0.1uF,C5,SM0805,Murata,GRM155F51E104ZA1J ,Mouser,81-GRM155F51E104ZA1J 
1,10uF,C4,SM1206,Vishay/Vitramon,VJ1206V106ZXQTW1BC,Mouser,77-VJ1206V106ZXQTBC
2,4.7uF,"C1,C3",SM1210,Vishay,VJ1206V475MXJTW1BC,Mouser,77-VJ1206V475MXJTBC
1,680pF,C2,SM0805,Vishay,VJ0805Y681JXXCW1BC,Mouser,77-VJ0805Y681JXXCBC
1,1K,R6,SM0805,Vishay,CRCW08051K00JNEA,Mouser,71-CRCW0805J-1K-E3
1,1M,R5,SM0805,Vishay,CRCW08051M00FKEA,Mouser,71-CRCW0805-1.0M-E3
1,2.2K,R3,SM0805,Vishay,CRCW08052K20JNEB,Mouser,71-CRCW08052K20JNEB
2,270,"R8, R9",SM0805,TE,CRG0805F270R,Mouser,279-CRG0805F270R
1,3.09K,R7,SM0805,KOA Speer,RK73H2ATTE3091F,Mouser,660-RK73H2ATTE3091F
2,470,"R1,R2",SM0805,KOA Speer,RK73B2ATTD472J,Mouser, 660-RK73B2ATTD472J 
1,NTC-10K,R4,SM0603,Panasonic,ERT-J1VG103JA,Mouser,667-ERT-J1VG103JA
1,FT230XS,U3,ssop-16,FTDI,FT230XS-R,Mouser,895-FT230XS-R 
1,LMR62014,U2,SOT23-5,TI, LMR62014XMFE/NOPB,Mouser,926-LMR62014XMFENOPB 
1,MCP73833,U1,MSOP10-0.5,Microchip Tech,MCP73833-AMI/UN,Mouser,579-MCP73833-AMI/UN 
1,LED2C_CA,DS1,SOT23_LED2C,Lumex,SML-LX15IGC-TR,Mouser,696-SML-LX15IGC-TR
1,MBR0520LT1G,D1,SOD-123,ON Semiconductor,MBR0520LT1G,Mouser,863-MBR0520LT1G
1,FUSE,F1,SM1206,Cooper Bussman,PTS120615V050,Mouser,PTS120615V050
1,10uH,L1,IND-3MM,Bourns,SRN3015-100M,Mouser,652-SRN3015-100M
1,CONN_2X2,H2,PIN_ARRAY_2X2,N/A,N/A,N/A,N/A
1,CONN_3,H1,PIN_ARRAY_3X1,FCI,68002-103HLF,Mouser,649-68002-103HLF
1,CONN_2,P1,TB2-5MM,N/A,N/A,N/A,N/A
1,CONN_2,P3,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
1,CONN_6,P2,PIN_ARRAY-6X1,FCI,68002-106HLF,Mouser,649-68002-106HLF
1,JST_2,J1,JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN),Mouser,455-1749-1-ND
1,USB-B,J2,USB-B-MINI,Hirose,UX60SC-MB-5ST(80),Mouser,798-UX60SC-MB-5ST80 
1,SW-SPDT,SW1,SW-SPDT-SLIDE,N/A,N/A,N/A,N/A
