Qty,Value,RefDes,Footprint
1,COUPON,COUP?1,REV_BLOCK
1,LED,D1,dougsLib:LED-5MM
2,CONN_1,"FID1,FID2",FIDUCIAL
1,FUSE,F1,Resistors_SMD:R_1206_HandSoldering
1,CONN_01X02,J4,Pin_Headers:Pin_Header_Straight_1x02
1,CONN_02X05,J2,Pin_Headers:Pin_Header_Straight_2x05
1,RASPIO,J1,Pin_Headers:Pin_Header_Straight_2x13
1,USB-MICRO-B,J3,DougsNewMods:USB_Micro-B-Wellco-SMT
4,120,"R1,R3,R6,R7",Resistors_SMD:R_0805_HandSoldering
1,2.2K,R4,Resistors_SMD:R_0805_HandSoldering
3,DNP,"R2,R5",Resistors_SMD:R_0805_HandSoldering
