"Find","Qty","Ref Des","Part Number"
"1","4","C1, C2, C3, C4","[https://www.mouser.com/ProductDetail/75-1C10Z5U104M050B 0.1uF]"
"2","2","C5, C6","[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 47nF]"
"3","2","C7, C8","[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF]"
"4","1","D1","[https://www.mouser.com/ProductDetail/583-1N5822-T 1N5288]"
"5","1","D2","[https://www.mouser.com/ProductDetail/863-MBR0530T1G MBR0520T1H]"
"6","1","H1","Header, Vert, 2x2"
"7","1","J1","Conn_01x02"
"8","1","J2","[https://www.mouser.com/datasheet/2/670/uj2_bh_th-1779177.pdf USB-B]"
"9","2","J3, J5","Socket, Female. 1x20"
"10","1","J4","Header, Vert, 2x3"
"11","1","J6","Header, Vert, 2x8"
"12","1","J7","[https://www.mouser.com/datasheet/2/670/sj1_352xn-1779157.pdf AudioJack3]"
"13","1","J8","[https://www.mouser.com/datasheet/2/222/KMDGX-334716.pdf PS2_DIN6]"
"14","1","J9","Header, Vert, 2x10"
"15","1","J10","[https://www.mouser.com/datasheet/2/123/English_634_Ordering_Guide-1830723.pdf CONN, DB15HD, BLUE (VGA)]"
"16","1","J11","Conn_01x04"
"17","4","MTG1, MTG2, MTG3, MTG4","[ MTG_HOLE]"
"18","6","R1, R2, R10, R11, R13, R14","2.2K"
"19","2","R3, R4","270"
"20","1","R5","390"
"21","2","R6, R8","47"
"22","1","R7","820"
"23","2","R9, R12","1K"
"24","2","R15, R16","10K"
"25","1","SD1","[https://www.mouser.com/datasheet/2/18/1/bwb_sdmemorycard-2584945.pdf Conn, SD Card]"
"26","1","TEST1","[ COUPON]"
"27","1","U1","[https://www.adafruit.com/product/4864 RPi-PICO]"
"28","1","U2","[https://www.mouser.com/datasheet/2/268/20001952C-1129816.pdf MCP23017_SP]"
"29","1","U3","[https://www.mouser.com/ProductDetail/595-TXS0104EDR TXS0104]"
