GP,FUNCTION,PICO PIN,,GP,FUNCTION,PICO PIN
GP0,I2C0_SDA (J1-I2C),1,,GP16,VGA_HSYNC,21
GP1,I2C0_SCL (J1-I2C),2,,GP17,VGA_VSYNC,22
GP2,I2C1_INT (MCP23017 if J4 in),4,,GP18,VGA_BLU,24
GP3,I2C0_INT (J1-I2C),5,,GP19,VGA_GRN_LO,25
GP4,SPARE,6,,GP20,VGA_GRN_HI,26
GP5,SPARE,7,,GP21,VGA_RED,27
GP6,AUDIO-L,9,,GP22,SPARE,29
GP7,AUDIO-R,10,,RUN,RUN/RESET*,30
GP8,PS2_CLK,11,,GP26,SPARE,31
GP9,PS2_DATA,12,,GP27,SPARE,32
GP10,SD_SCK,14,,GP28,SPARE,34
GP11,SD_MOSI,15,,ADC,ADCREF,35
GP12,SD_MISO,16,,VEN3,3.3V ENABLE,37
GP13,SD_SLVSEL,17,,3.3V,POWER_3.3V,36
GP14,I2C1_SDA (2xMCP23017),19,,VSYS,PS2_5V,39
GP15,I2C1_SCL (2xMCP23017),20,,,,
