27040,27020,27010,27512,27256,27128,2764,PIN(32),PIN(28),,PIN(28),PIN(32),2764,27128,27256,27512,27010,27020,27040
VPP,VPP,VPP,N/A,N/A,N/A,N/A,1,N/A,,N/A,32,N/A,N/A,N/A,N/A,VCC,VCC,VCC
A16,A16,A16,N/A,N/A,N/A,N/A,2,N/A,,N/A,31 (H2),N/A,N/A,N/A,N/A,PGM,PGM,A18
A15,A15,A15,A15,VPP,VPP,VPP,3 (H3),1,,28,30 (H4),VCC,VCC,VCC,VCC,N/C,A17,A17
A12,A12,A12,A12,A12,A12,A12,4,2,,27,29 (H5),PGM,PGM,A14,A14,A14,A14,A14
A7,A7,A7,A7,A7,A7,A7,5,3,,26,28,A13,A13,A13,A13,A13,A13,A13
A6,A6,A6,A6,A6,A6,A6,6,4,,25,27,A8,A8,A8,A8,A8,A8,A8
A5,A5,A5,A5,A5,A5,A5,7,5,,24,26,A9,A9,A9,A9,A9,A9,A9
A4,A4,A4,A4,A4,A4,A4,8,6,,23,25,A11,A11,A11,A11,A11,A11,A11
A3,A3,A3,A3,A3,A3,A3,9,7,,22,24,OE*,OE*,OE*,OE*,OE*,OE*,OE*
A2,A2,A2,A2,A2,A2,A2,10,8,,21,23,A10,A10,A10,A10,A10,A10,A10
A1,A1,A1,A1,A1,A1,A1,11,9,,20,22,CE*,CE*,CE*,CE*,CE*,CE*,CE*
A0,A0,A0,A0,A0,A0,A0,12,10,,19,21,D7,D7,D7,D7,D7,D7,D7
D0,D0,D0,D0,D0,D0,D0,13,11,,18,20,D6,D6,D6,D6,D6,D6,D6
D1,D1,D1,D1,D1,D1,D1,14,12,,17,19,D5,D5,D5,D5,D5,D5,D5
D2,D2,D2,D2,D2,D2,D2,15,13,,16,18,D4,D4,D4,D4,D4,D4,D4
GND,GND,GND,GND,GND,GND,GND,16,14,,15,17,D3,D3,D3,D3,D3,D3,D3
